"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Sivaprasad A.; Reiter E.; Tintarev N.; Oren N.","Sivaprasad, Adarsa (58638668300); Reiter, Ehud (7101771343); Tintarev, Nava (23092113300); Oren, Nir (12768237300)","58638668300; 7101771343; 23092113300; 12768237300","Evaluation of Human-Understandability of Global Model Explanations Using Decision Tree","2024","Communications in Computer and Information Science","1947","","","43","65","22","0","10.1007/978-3-031-50396-2_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184082859&doi=10.1007%2f978-3-031-50396-2_3&partnerID=40&md5=99acaf9306a17e0c9250aa489fcacefc","In explainable artificial intelligence (XAI) research, the predominant focus has been on interpreting models for experts and practitioners. Model agnostic and local explanation approaches are deemed interpretable and sufficient in many applications. However, in domains like healthcare, where end users are patients without AI or domain expertise, there is an urgent need for model explanations that are more comprehensible and instil trust in the model’s operations. We hypothesise that generating model explanations that are narrative, patient-specific and global (holistic of the model) would enable better understandability and enable decision-making. We test this using a decision tree model to generate both local and global explanations for patients identified as having a high risk of coronary heart disease. These explanations are presented to non-expert users. We find a strong individual preference for a specific type of explanation. The majority of participants prefer global explanations, while a smaller group prefers local explanations. A task based evaluation of mental models of these participants provide valuable feedback to enhance narrative global explanations. This, in turn, guides the design of health informatics systems that are both trustworthy and actionable. © The Author(s) 2024.","Conference paper","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184082859"
"Leung C.K.","Leung, Carson K. (7402612526)","7402612526","Biomedical Informatics: State of the Art, Challenges, and Opportunities","2024","BioMedInformatics","4","1","","89","97","8","1","10.3390/biomedinformatics4010006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188796636&doi=10.3390%2fbiomedinformatics4010006&partnerID=40&md5=f2933bc5e9b155132cd469b567e578bb","Biomedical informatics can be considered as a multidisciplinary research and educational field situated at the intersection of computational sciences (including computer science, data science, mathematics, and statistics), biology, and medicine. In recent years, there have been advances in the field of biomedical informatics. The current article highlights some interesting state-of-the-art research outcomes in these fields. These include research outcomes in areas like (i) computational biology and medicine, (ii) explainable artificial intelligence (XAI) in biomedical research and clinical practice, (iii) machine learning (including deep learning) methods and application for bioinformatics and healthcare, (iv) imaging informatics, as well as (v) medical statistics and data science. Moreover, the current article also discusses some existing challenges and potential future directions for these research areas to advance the fields of biomedical informatics. © 2024 by the author.","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188796636"
"Ali M.S.; Hossain M.M.; Kona M.A.; Nowrin K.R.; Islam M.K.","Ali, Md Shahin (57225851312); Hossain, Md Maruf (57224000918); Kona, Moutushi Akter (58633467500); Nowrin, Kazi Rubaya (58970920800); Islam, Md Khairul (57226522198)","57225851312; 57224000918; 58633467500; 58970920800; 57226522198","An ensemble classification approach for cervical cancer prediction using behavioral risk factors","2024","Healthcare Analytics","5","","100324","","","","0","10.1016/j.health.2024.100324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189455161&doi=10.1016%2fj.health.2024.100324&partnerID=40&md5=b7244509449e43959902e0f0bd423ee5","Cervical cancer is a significant public health concern among females worldwide. Despite being preventable, it remains a leading cause of mortality. Early detection is crucial for successful treatment and improved survival rates. This study proposes an ensemble Machine Learning (ML) classifier for efficient and accurate identification of cervical cancer using medical data. The proposed methodology involves preparing two datasets using effective preprocessing techniques, extracting essential features using the scikit-learn package, and developing an ensemble classifier based on Random Forest, Support Vector Machine, Gaussian Naïve Bayes, and Decision Tree classifier traits. Comparison with other state-of-the-art algorithms using several ML techniques, including support vector machine, decision tree, random forest, Naïve Bayes, logistic regression, CatBoost, and AdaBoost, demonstrates that the proposed ensemble classifier outperforms them significantly, achieving accuracies of 98.06% and 95.45% for Dataset 1 and Dataset 2, respectively. The proposed ensemble classifier outperforms current state-of-the-art algorithms by 1.50% and 6.67% for Dataset 1 and Dataset 2, respectively, highlighting its superior performance compared to existing methods. The study also utilizes a five-fold cross-validation technique to analyze the benefits and drawbacks of the proposed methodology for predicting cervical cancer using medical data. The Receiver Operating Characteristic (ROC) curves with corresponding Area Under the Curve (AUC) values are 0.95 for Dataset 1 and 0.97 for Dataset 2, indicating the overall performance of the classifiers in distinguishing between the classes. Additionally, we employed SHapley Additive exPlanations (SHAP) as an Explainable Artificial Intelligence (XAI) technique to visualize the classifier's performance, providing insights into the important features contributing to cervical cancer identification. The results demonstrate that the proposed ensemble classifier can efficiently and accurately identify cervical cancer and potentially improve cervical cancer diagnosis and treatment. © 2024 The Author(s)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189455161"
"Prasad A.; Asha V.; Tressa N.; Sharma D.; Deepthi V.; Divyashree S.","Prasad, Arpana (57222391420); Asha, V. (35519321500); Tressa, Neethu (58178664600); Sharma, Divya (58727653200); Deepthi, V. (58982262100); Divyashree, S. (58982262200)","57222391420; 35519321500; 58178664600; 58727653200; 58982262100; 58982262200","NeuroNet: A Deep Learning Framework for Stroke Analysis","2024","2nd International Conference on Intelligent Data Communication Technologies and Internet of Things, IDCIoT 2024","","","","768","772","4","0","10.1109/IDCIoT59759.2024.10467659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190125986&doi=10.1109%2fIDCIoT59759.2024.10467659&partnerID=40&md5=c45c4769aae044e904a65d86ad79712d","The revolutionary potential of a deep learning framework for stroke analysis and prediction in the healthcare industry is examined in this paper. The suggested framework uses large datasets, such as patient records, medical images, and pertinent health information, to create histicated neural networks in order to address the critical need for early detection and intervention in stroke cases. Important areas like stroke type classification, natural language processing, image analysis, treatment optimization, outcome prediction, telemedicine, and explainable artificial intelligence are highlighted in the thorough review of related work. The steps involved in data collection, preprocessing, model selection, and result interpretation are all carefully laid out in the methodology. A thorough evaluation of machine learning models, such as Random Forest, SVM, XGBoost, and Logistic Regression, is carried out; Random Forest continuously performs well. The results highlight how difficult it is to predict strokes and how crucial it is to choose models carefully. With the ultimate goal of improving stroke diagnosis, treatment, and prevention for improved patient care through ongoing research and technological advancements, ethical considerations and adherence to healthcare regulations in AI applications are emphasized.  © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85190125986"
"Cervoni L.; Sleiman R.; Jacob D.; Roudesli M.","Cervoni, Laurent (57195673163); Sleiman, Rita (58687668300); Jacob, Damien (57218348566); Roudesli, Mehdi (55326983800)","57195673163; 58687668300; 57218348566; 55326983800","Explainable Artificial Intelligence in Response to the Failures of Musculoskeletal Disorder Rehabilitation","2024","Communications in Computer and Information Science","2020 CCIS","","","14","24","10","0","10.1007/978-3-031-54303-6_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187652681&doi=10.1007%2f978-3-031-54303-6_2&partnerID=40&md5=a67238ea9b9f5523f002f02903dde422","Osteoarticular pathologies, and particularly low back pain and ankle sprains, due to their number and recurrence, constitute a public health issue. Practitioners do not have enough data describing the impact of treatments on the evolution of pathologies, which is necessary to develop a program that can dynamically adapt to changing patient conditions. We have therefore designed an application based on a series of medical consensus rules capable of generating dynamic exercise sessions adapted to the patient’s pathology and its evolution. In the traditional care pathway, it is difficult in retrospect to understand the failures in management (which amount to 40% in ankle sprains). Our approach, which adapts to the patient’s state of health over time, allows us to better understand how exercises are generated and then to analyze the pathways in order to monitor their effectiveness. The application, resulting from this work, is available as a WebApp. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Conference paper","Final","","Scopus","2-s2.0-85187652681"
"Ashraf K.; Nawar S.; Hosen M.H.; Islam M.T.; Uddin M.N.","Ashraf, Kahakashan (59012127200); Nawar, Sadia (59012455100); Hosen, Md. Hamid (59011807100); Islam, Mohammad Tanvirul (58592992300); Uddin, Mohammed Nazim (57208989719)","59012127200; 59012455100; 59011807100; 58592992300; 57208989719","Beyond the Black Box: Employing LIME and SHAP for Transparent Health Predictions with Machine Learning Models","2024","2024 International Conference on Advances in Computing, Communication, Electrical, and Smart Systems: Innovation for Sustainability, iCACCESS 2024","","","","","","","0","10.1109/iCACCESS61735.2024.10499522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191953565&doi=10.1109%2fiCACCESS61735.2024.10499522&partnerID=40&md5=d631276c6a94163da0e8cf62f8340ee6","In the vast realm of healthcare, healthcare data gathered from patients is bountiful. With the continuous evolution and expansion of artificial intelligence, these healthcare data are a vital asset for us. Under the assistance of artificial intelligence, we can efficiently diagnose and prognose diseases to combat the increase in inaccurate prognosis and delayed diagnosis. In healthcare, diagnosis refers to identifying diseases or conditions in patients, while prognosis predicts the likely course and outcome of the medical conditions. To ease the diagnosis and prognosis, we explore the implementation of Machine Learning (ML) techniques and Simple Feedforward Neural Network. The machine learning models that are evaluated include Decision Tree (DT), Random Forest (RF), Support Vector Classifier (SVC), K-Nearest Neighbors (KNN), and Gaussian Naive Bayes (GNB). After evaluation, the KNN model achieved the highest accuracy of 98.56%, along with F1-Score of 98.53%, Precision of 98.69%, and Recall Score of 98.52%. Later, we interpret the decision-making process of the machine learning algorithms by implementing Explainable Artificial Intelligence (XAI). LIME and SHAP, two types of XAI, are employed to explain and visualize the diagnosis capability and feature impact on the models. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85191953565"
"Niu S.; Yin Q.; Ma J.; Song Y.; Xu Y.; Bai L.; Pan W.; Yang X.","Niu, Shuai (57423321100); Yin, Qing (57423341100); Ma, Jing (57142999800); Song, Yunya (55082946100); Xu, Yida (58506109800); Bai, Liang (57198546714); Pan, Wei (55604960500); Yang, Xian (55317736900)","57423321100; 57423341100; 57142999800; 55082946100; 58506109800; 57198546714; 55604960500; 55317736900","Enhancing healthcare decision support through explainable AI models for risk prediction","2024","Decision Support Systems","181","","114228","","","","0","10.1016/j.dss.2024.114228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191022164&doi=10.1016%2fj.dss.2024.114228&partnerID=40&md5=3f8e4e31b3c74197b6c113019cce8a23","Electronic health records (EHRs) are a valuable source of information that can aid in understanding a patient's health condition and making informed healthcare decisions. However, modelling longitudinal EHRs with heterogeneous information is a challenging task. Although recurrent neural networks (RNNs) are frequently utilized in artificial intelligence (AI) models for capturing longitudinal data, their explanatory capabilities are limited. Predictive clustering stands as the most recent advancement within this domain, offering interpretable indications at the cluster level for predicting disease risk. Nonetheless, the challenge of determining the optimal number of clusters has put a brake on the widespread application of predictive clustering for disease risk prediction. In this paper, we introduce a novel non-parametric predictive clustering-based risk prediction model that integrates the Dirichlet Process Mixture Model (DPMM) with predictive clustering via neural networks. To enhance the model's interpretability, we integrate attention mechanisms that enable the capture of local-level evidence in addition to the cluster-level evidence provided by predictive clustering. The outcome of this research is the development of a multi-level explainable artificial intelligence (AI) model. We evaluated the proposed model on two real-world datasets and demonstrated its effectiveness in capturing longitudinal EHR information for disease risk prediction. Moreover, the model successfully produced interpretable evidence to bolster its predictions. © 2024 The Author(s)","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191022164"
"Gurmessa D.K.; Jimma W.","Gurmessa, Daraje Kaba (58000827800); Jimma, Worku (57194761825)","58000827800; 57194761825","Explainable machine learning for breast cancer diagnosis from mammography and ultrasound images: a systematic review","2024","BMJ Health and Care Informatics","31","1","e100954","","","","0","10.1136/bmjhci-2023-100954","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183808257&doi=10.1136%2fbmjhci-2023-100954&partnerID=40&md5=4e77fcc6ce3620d2468c546d77e7fe55","Background Breast cancer is the most common disease in women. Recently, explainable artificial intelligence (XAI) approaches have been dedicated to investigate breast cancer. An overwhelming study has been done on XAI for breast cancer. Therefore, this study aims to review an XAI for breast cancer diagnosis from mammography and ultrasound (US) images. We investigated how XAI methods for breast cancer diagnosis have been evaluated, the existing ethical challenges, research gaps, the XAI used and the relation between the accuracy and explainability of algorithms. Methods In this work, Preferred Reporting Items for Systematic Reviews and Meta-Analyses checklist and diagram were used. Peer-reviewed articles and conference proceedings from PubMed, IEEE Explore, ScienceDirect, Scopus and Google Scholar databases were searched. There is no stated date limit to filter the papers. The papers were searched on 19 September 2023, using various combinations of the search terms € breast cancer', € explainable', € interpretable', € machine learning', € artificial intelligence' and € XAI'. Rayyan online platform detected duplicates, inclusion and exclusion of papers. Results This study identified 14 primary studies employing XAI for breast cancer diagnosis from mammography and US images. Out of the selected 14 studies, only 1 research evaluated humans' confidence in using the XAI system - additionally, 92.86% of identified papers identified dataset and dataset-related issues as research gaps and future direction. The result showed that further research and evaluation are needed to determine the most effective XAI method for breast cancer. Conclusion XAI is not conceded to increase users' and doctors' trust in the system. For the real-world application, effective and systematic evaluation of its trustworthiness in this scenario is lacking. PROSPERO registration number CRD42023458665.  © Author(s) (or their employer(s)) 2024. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183808257"
"Abid R.; Rizwan M.; Alabdulatif A.; Alnajim A.; Alamro M.; Azrour M.","Abid, Rabia (57207823851); Rizwan, Muhammad (57225821156); Alabdulatif, Abdulatif (55387649900); Alnajim, Abdullah (26422016400); Alamro, Meznah (57215605596); Azrour, Mourade (57193500437)","57207823851; 57225821156; 55387649900; 26422016400; 57215605596; 57193500437","Adaptation of Federated Explainable Artificial Intelligence for Efficient and Secure E-Healthcare Systems","2024","Computers, Materials and Continua","78","3","","3413","3429","16","0","10.32604/cmc.2024.046880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189336481&doi=10.32604%2fcmc.2024.046880&partnerID=40&md5=1b82e5c5d69b3c64a76ca17702d4058b","Explainable Artificial Intelligence (XAI) has an advanced feature to enhance the decision-making feature and improve the rule-based technique by using more advanced Machine Learning (ML) and Deep Learning (DL) based algorithms. In this paper, we chose e-healthcare systems for efficient decision-making and data classification, especially in data security, data handling, diagnostics, laboratories, and decision-making. Federated Machine Learning (FML) is a new and advanced technology that helps to maintain privacy for Personal Health Records (PHR) and handle a large amount of medical data effectively. In this context, XAI, along with FML, increases efficiency and improves the security of e-healthcare systems. The experiments show efficient system performance by implementing a federated averaging algorithm on an open-source Federated Learning (FL) platform. The experimental evaluation demonstrates the accuracy rate by taking epochs size 5, batch size 16, and the number of clients 5, which shows a higher accuracy rate (19, 104). We conclude the paper by discussing the existing gaps and future work in an e-healthcare system. © 2024 Tech Science Press. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189336481"
"Arslanoglu K.; Karakose M.","Arslanoglu, Kubra (58987632600); Karakose, Mehmet (8881363800)","58987632600; 8881363800","An Overview for Trustworthy and Explainable Artificial Intelligence in Healthcare","2024","2024 28th International Conference on Information Technology, IT 2024","","","","","","","0","10.1109/IT61232.2024.10475733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190478464&doi=10.1109%2fIT61232.2024.10475733&partnerID=40&md5=48e7d4a523a8fe80cec2eb8931bdc8b5","Recently, the increased use of artificial intelligence in healthcare has significantly changed the developments in the field of medicine. Medical centres have adopted AI applications and used it in many applications to predict disease diagnosis and reduce health risks in a predetermined way. In addition to Artificial Intelligence (AI) techniques for processing data and understanding the results of this data, Explainable Artificial Intelligence (XAI) techniques have also gained an important place in the healthcare sector. In this study, reliable and explainable artificial intelligence studies in the field of healthcare were investigated and the blockchain framework, one of the latest technologies in the field of reliability, was examined. Many researchers have used blockchain technology in the healthcare industry to exchange information between laboratories, hospitals, pharmacies, and doctors and to protect patient data. In our study, firstly, the studies whose keywords were XAI and Trustworthy Artificial Intelligence were examined, and then, among these studies, priority was given to current articles using Blockchain technology. Combining the existing methods and results of previous studies and organizing these studies, our study presented a general framework obtained from the reviewed articles. Obtaining this framework from current studies will be beneficial for future studies of both academics and scientists.  © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85190478464"
